Product_Family
Cucurbitaceae
Platanaceae
Scrophulariaceae
Euphorbiaceae
Amaranthaceae
Asteraceae
Thelypteridaceae
Poaceae
Rosaceae
Caprifoliaceae
Fabaceae
Pertusariaceae
Agavaceae
Iridaceae
Verbenaceae
Salicaceae
Polypodiaceae
Polygonaceae
Garryaceae
Cyperaceae
Ophioglossaceae
Gentianaceae
Marattiaceae
Grimmiaceae
Hydrophyllaceae
Roccellaceae
Caryophyllaceae
Malpighiaceae
Gesneriaceae
Onagraceae
Parmeliaceae
Hydrocharitaceae
Polemoniaceae
Icacinaceae
Dicranaceae
Brassicaceae
Myrtaceae
Lamiaceae
Chenopodiaceae
Orthotrichaceae
Campanulaceae
Grossulariaceae
Rutaceae
Rhachitheciaceae
Orchidaceae
Lycopodiaceae
Candelariaceae
Pottiaceae
Dryopteridaceae
Crassulaceae
Araliaceae
Clusiaceae
Funariaceae
Gyalectaceae
Violaceae
Alismataceae
Pteridaceae
Ranunculaceae
Gomphillaceae
Selaginellaceae
Cistaceae
Cactaceae
Cornaceae
Lecanoraceae
Apiaceae
Verrucariaceae
Acarosporaceae
Acanthaceae
Bryaceae
Physciaceae
Malvaceae
Thelotremataceae
Anacardiaceae
Loasaceae
Ericaceae
Liliaceae
Fagaceae
Bartramiaceae
Boraginaceae
Polytrichaceae
Sapindaceae
Viscaceae
Rubiaceae
Lichinaceae
Capparaceae
Sterculiaceae
Nyctaginaceae
Pedaliaceae
Asclepiadaceae
Pleomassariaceae
Simmondsiaceae
Solorinellaceae
Thymelaeaceae
Hymeneliaceae
Pyrenulaceae
Betulaceae
Ditrichaceae
Oleaceae
Saxifragaceae
Thelenellaceae
Rhamnaceae
Convolvulaceae
Uncertain Ascomycota Family
Menyanthaceae
Zingiberaceae
Commelinaceae
Cyrillaceae
Urticaceae
Cuscutaceae
Solanaceae
Dioscoreaceae
Celastraceae
Limnanthaceae
Arecaceae
Myrsinaceae
Annonaceae
Ebenaceae
Lauraceae
Tiliaceae
Rhizocarpaceae
Brachytheciaceae
Isoetaceae
Hippocastanaceae
Vitaceae
Portulacaceae
Valerianaceae
Pterobryaceae
Apocynaceae
Piperaceae
Lobariaceae
Primulaceae
Polygalaceae
Collemataceae
Leskeaceae
Myristicaceae
Grammitidaceae
Aizoaceae
Blechnaceae
Aceraceae
Lecideaceae
Arthoniaceae
Amblystegiaceae
Cladoniaceae
Elatinaceae
Potamogetonaceae
Passifloraceae
Lythraceae
Micareaceae
Symplocaceae
Teloschistaceae
Peltigeraceae
Opegraphaceae
Tamaricaceae
Juncaceae
Caliciaceae
Papaveraceae
Pinaceae
Burseraceae
Hymenophyllaceae
Aspleniaceae
Crocyniaceae
Moraceae
Cabombaceae
Ramalinaceae
Plantaginaceae
Heliconiaceae
Porpidiaceae
Neckeraceae
Theaceae
Umbilicariaceae
Loganiaceae
Monotropaceae
Buxbaumiaceae
Leucodontaceae
Berberidaceae
Calyceraceae
Droseraceae
Flacourtiaceae
Orobanchaceae
Hookeriaceae
Linaceae
Trypetheliaceae
Sphagnaceae
Anthocerotaceae
Eriocaulaceae
Ruppiaceae
Dipterocarpaceae
Zygophyllaceae
Mycoporaceae
Nephromataceae
Typhaceae
Graphidaceae
Marantaceae
Aristolochiaceae
Araceae
Hypnaceae
